Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABBV,AbbVie Inc. Common Stock,$158.02,2.72,1.751%,279600583417.00,United States,2012,4678822,Health Care,Other Pharmaceuticals
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$86.90,0.38,0.439%,230070851982.00,China,2014,20349646,Consumer Discretionary,Catalog/Specialty Distribution
BAC,Bank of America Corporation Common Stock,$27.14,0.17,0.63%,217032553373.00,United States,,96978311,Finance,Major Banks
BRK/A,Berkshire Hathaway Inc.,$453066.10999999999,316.11,0.07%,666403161480.00,United States,,4488,,
BRK/B,Berkshire Hathaway Inc.,$298.92,0.55,0.184%,659510595019.00,United States,,3905988,,
CVX,Chevron Corporation Common Stock,$156.06,1.54,0.997%,301763631489.00,United States,,6601923,Energy,Integrated oil Companies
HD,Home Depot Inc. (The) Common Stock,$283.02,-0.89,-0.313%,288450027946.00,United States,,3851349,Consumer Discretionary,RETAIL: Building Materials
JNJ,Johnson & Johnson Common Stock,$152.65,1.52,1.006%,397544304153.00,United States,,5696845,Health Care,Biotechnology: Pharmaceutical Preparations
JPM,JP Morgan Chase & Co. Common Stock,$124.91,-1.93,-1.522%,366523413000.00,United States,,22326916,Finance,Major Banks
KO,Coca-Cola Company (The) Common Stock,$60.90,0.98,1.636%,263575200000.00,United States,,12977607,Consumer Staples,Beverages (Production/Distribution)
LLY,Eli Lilly and Company Common Stock,$336.13,3.49,1.049%,319383297527.00,United States,,2792171,Health Care,Biotechnology: Pharmaceutical Preparations
MA,Mastercard Incorporated Common Stock,$351.63,-2.74,-0.773%,335188672230.00,United States,2006,2971590,Consumer Discretionary,Business Services
MRK,Merck & Company Inc. Common Stock (new),$104.80,0.57,0.547%,265709498075.00,United States,,6661846,Health Care,Biotechnology: Pharmaceutical Preparations
NVO,Novo Nordisk A/S Common Stock,$152.75,3.17,2.119%,343963916706.00,Denmark,,1602676,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ORCL,Oracle Corporation Common Stock,$88.01,0.23,0.262%,237297226530.00,United States,1986,5852248,Technology,Computer Software: Prepackaged Software
PFE,Pfizer Inc. Common Stock,$40.39,0.21,0.523%,226721774149.00,United States,,17221115,Health Care,Biotechnology: Pharmaceutical Preparations
PG,Procter & Gamble Company (The) Common Stock,$146.72,2.93,2.038%,346133621765.00,United States,,6145622,Consumer Discretionary,Package Goods/Cosmetics
TMO,Thermo Fisher Scientific Inc Common Stock,$558.26,3.07,0.553%,218947091651.00,United States,,1012596,Industrials,Biotechnology: Laboratory Analytical Instruments
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$92.79,-1.80,-1.903%,481208940000.00,Taiwan,1997,7655139,Technology,Semiconductors
UNH,UnitedHealth Group Incorporated Common Stock (DE),$475.99,6.08,1.294%,444740815257.00,United States,,2533418,Health Care,Medical Specialities
V,Visa Inc.,$221.04,-1.55,-0.696%,464578796007.00,United States,,4792394,Consumer Discretionary,Business Services
WMT,Walmart Inc. Common Stock,$141.80,1.15,0.818%,382406247657.00,United States,,7584272,Consumer Discretionary,Department/Specialty Retail Stores
XOM,Exxon Mobil Corporation Common Stock,$103.53,0.12,0.116%,422609460000.00,United States,,13405812,Energy,Oil & Gas Production
